year,name,data,t,ph,do,cod,bod,nh4,tn,tp,chla,sd
1995,扁山,1,6.166666667,7.853333155,10.5666666,2.061666667,1.421666662,0.479999984,1.776666641,0.038333333,NA,NA
1995,扁山,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,扁山,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,扁山,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,扁山,5,21.63333321,7.581666708,7.249999921,1.903333326,0.701666663,0.203500003,NA,0.049,NA,NA
1995,扁山,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,扁山,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,扁山,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,扁山,9,24.31666692,7.523333311,7.208333254,1.716666659,1.049999987,0.125333333,NA,0.0575,NA,NA
1995,扁山,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,扁山,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,扁山,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,扁山,1,10.13333321,7.441666762,9.779999733,2.646666686,1.395000011,0.376500001,NA,0.114166668,NA,NA
1996,扁山,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,扁山,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,扁山,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,扁山,5,21.73333359,7.6116666,7.191666603,3.343333324,1.75333335,0.136000002,2.080000043,0.28916667,NA,NA
1996,扁山,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,扁山,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,扁山,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,扁山,9,27.20000013,7.464999994,6.191666762,3.401666681,1.478333354,0.270666664,NA,0.129833336,NA,NA
1996,扁山,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,扁山,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,扁山,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,扁山,1,8.700000127,7.781666676,9.693333467,3.99999996,2.229999999,0.445166671,NA,0.129000001,NA,NA
1997,扁山,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,扁山,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,扁山,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,扁山,5,24.66666667,7.696666638,5.528333346,3.366666635,2.046666682,0.203499997,2.4799999,0.145499999,NA,NA
1997,扁山,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,扁山,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,扁山,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,扁山,9,27.16666667,7.791666667,5.708333492,3.668333292,1.428333342,0.362666664,NA,0.098000001,NA,NA
1997,扁山,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,扁山,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,扁山,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
